	32	40	50	60
0	0	1	1	2
1	1	0	0	4
2	0	2	2	2
3	1	0	4	3
4	0	1	1	6
5	0	1	3	0
6	1	0	0	1
7	0	2	2	1
8	1	0	1	3
9	0	2	0	1
10	2	0	3	4
11	0	1	1	4
12	0	1	5	3
13	0	0	0	1
14	1	1	2	4
15	0	0	1	0
16	0	2	1	2
17	1	1	2	3
18	0	0	0	5
19	0	1	6	1
20	0	1	1	3
21	2	0	0	1
22	0	0	0	2
23	1	3	1	0
24	0	0	3	3
25	0	0	2	7
26	1	1	2	2
27	0	1	1	3
28	0	0	2	0
29	1	1	0	2
30	0	2	3	1
31	0	0	1	2
32	1	0	2	5
33	1	1	4	0
34	0	1	1	4
35	1	1	0	3
36	0	0	4	3
37	0	3	1	1
38	0	0	1	4
39	1	0	3	1
40	0	0	0	1
41	0	2	1	2
42	0	2	1	4
43	1	0	5	3
44	2	0	0	1
45	0	1	1	4
46	0	0	1	2
47	1	1	2	4
48	0	1	3	2
49	0	2	1	1
50	0	1	2	2
51	1	0	0	5
52	1	0	0	2
53	0	0	2	1
54	0	2	3	0
55	0	1	2	7
56	1	1	3	2
57	1	1	0	1
58	0	0	1	2
59	0	1	1	3
60	0	0	0	1
61	1	3	1	0
62	0	0	3	5
63	0	0	4	3
64	0	2	0	4
65	1	0	1	1
66	1	1	2	5
67	0	0	2	1
68	0	1	1	0
69	0	0	0	3
70	1	2	3	1
71	0	1	1	5
72	1	1	3	0
73	0	1	2	4
74	1	1	0	4
75	0	0	1	3
76	0	0	2	2
77	2	2	2	2
78	0	2	1	3
79	0	1	1	0
80	0	1	5	3
81	1	0	1	1
82	0	0	3	4
83	0	0	0	2
84	1	2	1	1
85	1	1	1	2
86	0	1	2	0
87	1	1	1	3
88	0	2	4	2
89	1	0	1	2
90	0	0	0	6
91	0	1	3	5
92	1	0	2	0
93	0	0	3	1
94	1	2	0	4
95	0	1	1	0
96	1	0	1	3
97	0	1	3	2
98	0	0	3	3
99	2	2	2	2
100	0	0	3	3
101	0	1	0	4
102	0	2	1	1
103	1	0	0	2
104	1	0	4	0
105	0	1	0	4
106	0	1	2	2
107	0	1	2	4
108	1	0	3	1
109	0	2	2	3
110	0	1	0	4
111	0	1	1	0
112	1	1	2	5
113	0	0	0	2
114	0	1	2	4
115	0	1	1	0
116	1	0	4	3
117	0	1	0	1
118	0	0	1	2
119	1	3	3	2
120	1	0	2	4
121	0	1	2	4
122	0	0	1	1
123	0	0	2	3
124	1	1	1	1
125	0	1	1	4
126	0	1	0	2
127	1	2	2	1
