	PATCH_LEVEL	MAX_HP	ARMOR	REALITY	BASIC_DAMAGE	SKILL_POWER
1	1	932,920	100,879	122,348	41,306	70,825
2	2	1,865,840	201,757	244,696	82,613	141,651
3	3	2,798,760	302,636	367,043	123,919	212,476
4	4	3,731,680	403,514	489,391	165,226	283,301
5	5	4,664,600	504,393	611,739	206,532	354,126
6	6	11,733,891	1,029,853	1,252,833	518,983	888,537
7	7	18,803,181	1,555,314	1,893,927	831,434	1,422,947
8	8	25,872,472	2,080,775	2,535,021	1,143,885	1,957,358
9	9	32,941,762	2,606,236	3,176,115	1,456,336	2,491,768
10	10	40,011,053	3,131,696	3,817,209	1,768,787	3,026,179
11	11	57,684,279	4,182,618	5,099,397	2,549,915	4,362,205
12	12	75,357,506	5,233,539	6,381,586	3,331,042	5,698,231
13	13	93,030,732	6,284,461	7,663,774	4,112,170	7,034,258
14	14	110,703,959	7,335,382	8,945,962	4,893,298	8,370,284
15	15	128,377,185	8,386,304	10,228,150	5,674,425	9,706,311
16	16	172,560,252	10,488,147	12,792,526	7,627,245	13,046,377
17	17	216,743,318	12,589,990	15,356,903	9,580,064	16,386,443
18	18	260,926,385	14,691,833	17,921,279	11,532,883	19,726,509
19	19	305,109,451	16,793,676	20,485,655	13,485,703	23,066,576
20	20	349,292,518	18,895,519	23,050,032	15,438,522	26,406,642
21	21	459,750,184	20,320,571	34,756,808	23,099,205	28,178,784
22	22	570,207,851	25,202,620	43,106,974	27,302,891	33,307,537
23	23	680,665,517	30,084,668	51,457,140	31,506,577	38,436,290
24	24	791,123,184	34,966,717	59,807,306	35,710,263	43,565,042
25	25	901,580,850	39,848,766	68,157,472	39,913,949	48,693,795
26	26	910,596,659	40,247,253	68,839,046	40,313,088	49,180,733
27	27	919,702,626	40,649,726	69,527,437	40,716,219	49,672,540
28	28	928,899,652	41,056,223	70,222,711	41,123,381	50,169,266
29	29	938,188,648	41,466,785	70,924,938	41,534,615	50,670,958
30	30	947,570,535	41,881,453	71,634,188	41,949,961	51,177,668
31	31	957,046,240	42,300,268	72,350,530	42,369,461	51,689,444
32	32	966,616,703	42,723,270	73,074,035	42,793,155	52,206,339
33	33	976,282,870	43,150,503	73,804,775	43,221,087	52,728,402
34	34	986,045,698	43,582,008	74,542,823	43,653,298	53,255,686
35	35	995,906,155	44,017,828	75,288,251	44,089,831	53,788,243
36	36	1,005,865,217	44,458,007	76,041,134	44,530,729	54,326,126
37	37	1,015,923,869	44,902,587	76,801,545	44,976,036	54,869,387
38	38	1,026,083,108	45,351,612	77,569,561	45,425,797	55,418,081
39	39	1,036,343,939	45,805,129	78,345,256	45,880,055	55,972,262
40	40	1,046,707,378	46,263,180	79,128,709	46,338,855	56,531,984
41	41	1,057,174,452	46,725,812	79,919,996	46,802,244	57,097,304
42	42	1,067,746,196	47,193,070	80,719,196	47,270,266	57,668,277
43	43	1,078,423,658	47,665,000	81,526,388	47,742,969	58,244,960
44	44	1,089,207,895	48,141,650	82,341,652	48,220,399	58,827,409
45	45	1,100,099,974	48,623,067	83,165,068	48,702,603	59,415,684
46	46	1,111,100,974	49,109,298	83,996,719	49,189,629	60,009,840
47	47	1,122,211,983	49,600,391	84,836,686	49,681,525	60,609,939
48	48	1,133,434,103	50,096,395	85,685,053	50,178,340	61,216,038
49	49	1,144,768,444	50,597,358	86,541,903	50,680,124	61,828,199
50	50	1,156,216,129	51,103,332	87,407,322	51,186,925	62,446,481
