	STAT_INCREASE
CATEGORY	none
RARITY	none
REQUIRED_LEVEL	none
VEND_VALUE	none
GOLD_PRICE	none
DIAMOND_PRICE	none
TOKEN_PRICE	none
ENCHANT_POINTS	none
EXP_GIVEN	none
CONTENT_UPDATE	none
POWER	ceil(B*0.35)*S
BASIC_DAMAGE	ceil(B*0.35)*S
BONUS_BASIC_DAMAGE	ceil(B*0.35)*S
SKILL_POWER	ceil(B*0.35)*S
HP_MAX	ceil(B*0.35)*S
HP_REGEN	ceil(B*0.35)*S
ENERGY_MAX	ceil(B*0.35)*S
ENERGY_STARTING	ceil(B*0.35)*S
ENERGY_REGEN	ceil(B*0.35)*S
ARMOR	ceil(B*0.35)*S
REALITY	ceil(B*0.35)*S
ARMOR_NEGATION	S*(B>0)
REALITY_NEGATION	S*(B>0)
NORMAL_CRIT	S*(B>0)
FANTASTIC_CRIT	S*(B>0)
CRIT_DAMAGE	S*(B>0)
NORMAL_PROWESS	S*(B>0)
FANTASTIC_PROWESS	S*(B>0)
NORMAL_CRIT_SCALAR	none
FANASTIC_CRIT_SCALAR	none
NORMAL_SUPER_CRIT_SCALAR	none
FANASTIC_SUPER_CRIT_SCALAR	none
TENACITY	S*(B>0)
EVASION	S*(B>0)
FURY	none
CONSERVATION	ceil(100*B*0.35)*S/100
IMPROVED_HEALING	ceil(100*B*0.35)*S/100
COOLDOWN_REDUCTION	none
MOVEMENT_SPEED_SCALAR	none
ATTACK_SPEED_SCALAR	none
DISABLE_LENGTH_SCALAR	none
SHIELD_SIZE_SCALAR	none
SHIELD_LENGTH_SCALAR	none
NORMAL_DAMAGE_DONE_SCALAR	none
FANTASTIC_DAMAGE_DONE_SCALAR	none
ALL_DAMAGE_DONE_SCALAR	none
NORMAL_DAMAGE_TAKEN_SCALAR	none
FANTASTIC_DAMAGE_TAKEN_SCALAR	none
ALL_DAMAGE_TAKEN_SCALAR	none
ENERGY_GAIN_SCALAR	none
STUN_LENGTH_SCALAR	none
SHIELD_SIZE_ADDER	none
DAMAGE_REDUCTION	none
SILENCE_LENGTH_SCALAR	none
ARMOR_SUBTRACTION_TEMP	none
REALITY_SUBTRACTION_TEMP	none
ADDITIONAL_CRIT_CHANCE	none
STUDY_LENGTH_SCALAR	none
AMBITION	none
NORMAL_CRIT_NEGATION	none
FANTASTIC_CRIT_NEGATION	none
