	LEVEL_UP_COST	BASE_MEGABIT_ENHANCEMENT_COST	BASE_XP_ENHANCEMENT_COST	EFFECTIVE_LEVEL	EFFECTIVE_ENHANCED_LEVEL
0	900	0	0	0	0
1	1800	0	0	235	239
2	3100	0	0	240	244
3	4750	0	0	245	249
4	6400	0	0	250	254
5	8050	0	0	255	259
6	9700	0	0	260	264
7	11350	0	0	265	269
8	13000	0	0	270	274
9	14650	0	0	275	279
10	16300	0	0	280	284
11	17950	0	0	285	289
12	19600	0	0	290	294
13	21250	0	0	295	299
14	22900	0	0	300	304
15	24550	0	0	305	309
16	26200	0	0	310	314
17	27850	0	0	315	319
18	29500	0	0	320	324
19	31150	0	0	325	329
20	32800	0	0	330	334
21	34450	0	0	335	339
22	36100	0	0	340	344
23	37750	0	0	345	349
24	39400	0	0	350	354
25	41050	0	0	355	359
26	42700	0	0	360	364
27	44350	0	0	365	369
28	46000	0	0	370	374
29	47650	0	0	375	379
30	49300	0	0	380	384
31	50950	0	0	385	389
32	52600	0	0	390	394
33	54250	0	0	395	399
34	55900	0	0	400	404
35	57550	0	0	405	409
36	59200	0	0	410	414
37	60850	0	0	415	419
38	62500	0	0	420	424
39	64150	0	0	425	429
40	65800	0	0	430	434
41	67450	0	0	435	439
42	69100	0	0	440	444
43	70750	0	0	445	449
44	72400	0	0	450	454
45	74050	0	0	455	459
46	75700	0	0	460	464
47	77350	0	0	465	469
48	79000	0	0	470	474
49	80650	0	0	475	479
50	82300	0	0	480	484
51	83950	0	0	485	489
52	85600	0	0	490	494
53	87250	0	0	495	499
54	88900	0	0	500	504
55	90550	0	0	505	509
56	92200	0	0	510	514
57	93850	0	0	515	519
58	95500	0	0	520	524
59	97150	0	0	525	529
60	98800	0	0	530	534
61	100450	0	0	535	539
62	102100	0	0	540	544
63	103750	0	0	545	549
64	105400	0	0	550	554
65	107050	0	0	555	559
66	108700	0	0	560	564
67	110350	0	0	565	569
68	112000	0	0	570	574
69	113650	0	0	575	579
70	115300	0	0	580	584
71	116950	0	0	585	589
72	118600	0	0	590	594
73	120250	0	0	595	599
74	121900	0	0	600	604
75	123550	0	0	605	609
76	125200	0	0	610	614
77	126850	0	0	615	619
78	128500	0	0	620	624
79	130150	0	0	625	629
80	131800	0	0	630	634
81	133450	0	0	635	639
82	135100	0	0	640	644
83	136750	0	0	645	649
84	138400	0	0	650	654
85	140050	0	0	655	659
86	141700	0	0	660	664
87	143350	0	0	665	669
88	145000	0	0	670	674
89	146650	0	0	675	679
90	148300	0	0	680	684
91	149950	0	0	685	689
92	151600	0	0	690	694
93	153250	0	0	695	699
