	TRIGGER_TYPE	TRIGGER_VALUE	STAT_BUFF_1_TYPE	STAT_BUFF_2_TYPE	STAT_BUFF_2_SUBTYPE	EFFECT_BUFF_TYPE
CALHOUN	FATIGUE_AMOUNT	5	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	TEAM_SHIELD
RALPH	TIME	10	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	TANK	SELF_HOT
FELIX	STUN_AMOUNT	3	MAX_HP_BOOST	REALITY_BOOST_PER_ALLY_ROLE	TANK	TEAM_HEAL
VANELLOPE	SLOW_AMOUNT	1	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	REALITY_NEGATION
JUDY_HOPPS	KNOCK_BACK_AMOUNT	3	ARMOR_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	SUPPORT	TEAM_SHIELD
NICK_WILDE	CHARM_AMOUNT	1	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	DPS	ENERGY_GAIN
FINNICK	SKILL1_AMOUNT	5	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_COLOR	YELLOW	HARDY
CHIEF_BOGO	SHIELD_AMOUNT	2	ARMOR_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	TANK	HARDY
YAX	SKILL1_AMOUNT	3	REALITY_BOOST	REALITY_BOOST_PER_ALLY_COLOR	YELLOW	REFLECT
MR_INCREDIBLE	STUN_AMOUNT	3	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	RED	INVINCIBILITY
ELASTIGIRL	HARDY_AMOUNT	11	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_COLOR	RED	FANTASTIC_CRIT
DASH	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	RED	NORMAL_CRIT
FROZONE	FROZEN_AMOUNT	3	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	FANTASTIC_CRIT
JACK_JACK	DOT_AMOUNT	2	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	FANTASTIC_CRIT
VIOLET	SHIELD_AMOUNT	2	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	SUPPORT	TEAM_SHIELD
BUZZ	BLIND_AMOUNT	2	ARMOR_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	BLUE	ENERGIZED_2
WOODY	CHARM_AMOUNT	1	REALITY_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	BLUE	SELF_HEAL
REX	KNOCK_BACK_AMOUNT	5	REALITY_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	TANK	INVINCIBILITY
EMPEROR_ZURG	SCARE_AMOUNT	2	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	ATTACK_SPEED_1
JESSIE	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	SELF_SHIELD
SULLEY	SCARE_AMOUNT	2	ARMOR_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	INVINCIBILITY
MIKE	SCARE_AMOUNT	2	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	ATTACK_MOVE_SPEED_1
EVE	SKILL1_AMOUNT	3	BASIC_DAMAGE_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	RED	ENERGIZED_1
JACK_SPARROW	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	CRIT_DAMAGE
WALL_E	FROZEN_AMOUNT	3	ARMOR_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	TENACITY
HECTOR_BARBOSSA	DOT_AMOUNT	2	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	ATTACK_SPEED_1
TIA_DALMA	CURSE_AMOUNT	2	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	REALITY_NEGATION
QUORRA	SKILL1_AMOUNT	3	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	RED	REALITY_NEGATION
KEVIN_FLYNN	TIME	15	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	SUPPORT	INVINCIBILITY
MERIDA	ALLY_KO_AMOUNT	2	BASIC_DAMAGE_BOOST	REALITY_BOOST_PER_ALLY_ROLE	DPS	BERSERK
MAUI	ALLY_KO_AMOUNT	2	ARMOR_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	TANK	REFLECT
STITCH	SLOW_AMOUNT	1	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	BLUE	ENERGY_GAIN
MIGUEL	TIME	15	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	SUPPORT	TEAM_HOT
MOANA	SHIELD_AMOUNT	2	ARMOR_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	ATTACK_SPEED_2
GENIE	SKILL1_AMOUNT	3	BASIC_DAMAGE_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	BLUE	ENERGIZED_1
ALADDIN	SKILL1_AMOUNT	5	REALITY_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	BLUE	INVISIBILITY
BAYMAX	SHIELD_AMOUNT	9	ARMOR_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	TANK	TEAM_SHIELD
HIRO	STUN_AMOUNT	3	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	CONTROL	PRECISE
HADES	DOT_AMOUNT	5	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	TANK	ENERGY_GAIN
MALEFICENT	CURSE_AMOUNT	2	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	YELLOW	ENERGIZED_1
URSULA	SKILL1_AMOUNT	5	REALITY_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	ENERGY_GAIN
SCAR	SILENCE_AMOUNT	1	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	ATTACK_MOVE_SPEED_2
MICKEY_MOUSE	BASIC_ATTACK_AMOUNT	12	MAX_HP_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	SUPPORT	TEAM_HEAL
JACK_SKELLINGTON	SCARE_AMOUNT	5	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	DPS	ATTACK_SPEED_2
SALLY	DOT_AMOUNT	2	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	TANK	BERSERK
