	1	2	3	4
WARD_INCREASE_HP	FALSE	FALSE	TRUE	TRUE
WARD_INCREASE_DAMAGE	FALSE	FALSE	TRUE	TRUE
WARD_INCREASE_SP	FALSE	FALSE	TRUE	TRUE
WARD_INCREASE_ARMOR	FALSE	FALSE	TRUE	TRUE
WARD_INCREASE_REALITY	FALSE	FALSE	TRUE	TRUE
WARD_IMMUNE_TO_DISABLES	FALSE	FALSE	TRUE	TRUE
WARD_DECREASE_ATTACK_SPEED	FALSE	FALSE	TRUE	TRUE
WARD_DECREASE_SP	FALSE	FALSE	TRUE	TRUE
WARD_SHIELDED	FALSE	FALSE	TRUE	TRUE
WARD_DECREASE_HEALING	FALSE	FALSE	TRUE	TRUE
WARD_TANKS_EXTRA_DAMAGE	FALSE	FALSE	TRUE	TRUE
WARD_DPS_LESS_DAMAGE	FALSE	FALSE	TRUE	TRUE
WARD_SUPPORT_LESS_ENERGY	FALSE	FALSE	TRUE	TRUE
