	ENVIRONMENT_TYPE
1	BLACK_MARKET_1
2	BLACK_MARKET_2
3	BLACK_MARKET_3
4	BLACK_MARKET_4
5	BLACK_MARKET_5
6	BLACK_MARKET_6
7	BLACK_MARKET_7
8	BLACK_MARKET_8
9	BLACK_MARKET_9
10	BLACK_MARKET_10
11	BLACK_MARKET_11
12	BLACK_MARKET_12
13	BLACK_MARKET_13
14	BLACK_MARKET_14
15	BLACK_MARKET_15
16	BLACK_MARKET_16
17	CITY_ROOFTOPS_1
18	CITY_ROOFTOPS_2
19	CITY_ROOFTOPS_3
20	CITY_ROOFTOPS_4
21	CITY_ROOFTOPS_5
22	CITY_ROOFTOPS_6
23	CITY_ROOFTOPS_7
24	CITY_ROOFTOPS_8
25	CITY_ROOFTOPS_9
26	CITY_ROOFTOPS_12
27	CITY_ROOFTOPS_13
28	CITY_ROOFTOPS_14
29	CITY_ROOFTOPS_15
30	CITY_ROOFTOPS_16
31	CITY_ROOFTOPS_17
32	PORT_2
33	PORT_3
34	PORT_4
35	PORT_5
36	PORT_6
37	PORT_7
38	PORT_8
39	PORT_9
40	PORT_10
41	PORT_11
42	PORT_12
43	PORT_13
44	PORT_14
45	PORT_15
46	CITY_CENTER_7
47	CITY_CENTER_8
48	CITY_CENTER_12
49	FASHION_DISTRICT_12
50	FASHION_DISTRICT_13
51	FASHION_DISTRICT_14
52	FASHION_DISTRICT_15
53	PARK_MIDWAY_1
54	PARK_MIDWAY_2
55	PARK_MIDWAY_3
56	PARK_MIDWAY_4
57	PARK_MIDWAY_5
58	PARK_MIDWAY_6
59	PARK_MIDWAY_7
60	PARK_MIDWAY_8
61	PARK_MIDWAY_9
62	PARK_MIDWAY_10
63	PARK_MIDWAY_11
64	PARK_MIDWAY_12
65	PARK_MIDWAY_13
66	PARK_MIDWAY_14
67	FINANCIAL_DISTRICT_1
68	FINANCIAL_DISTRICT_2
69	FINANCIAL_DISTRICT_3
70	FINANCIAL_DISTRICT_4
71	FINANCIAL_DISTRICT_5
72	FINANCIAL_DISTRICT_6
73	FINANCIAL_DISTRICT_7
74	FINANCIAL_DISTRICT_8
75	FINANCIAL_DISTRICT_9
76	FINANCIAL_DISTRICT_10
77	FINANCIAL_DISTRICT_11
78	FINANCIAL_DISTRICT_12
79	FINANCIAL_DISTRICT_13
80	FINANCIAL_DISTRICT_14
81	FINANCIAL_DISTRICT_15
82	FINANCIAL_DISTRICT_16
83	UNFINISHED_LEVEL_1
84	UNFINISHED_LEVEL_2
85	UNFINISHED_LEVEL_3
86	UNFINISHED_LEVEL_4
87	UNFINISHED_LEVEL_5
88	UNFINISHED_LEVEL_6
89	UNFINISHED_LEVEL_7
90	UNFINISHED_LEVEL_8
91	UNFINISHED_LEVEL_9
92	UNFINISHED_LEVEL_10
93	UNFINISHED_LEVEL_11
94	UNFINISHED_LEVEL_12
95	UNFINISHED_LEVEL_13
96	UNFINISHED_LEVEL_14
97	UNFINISHED_LEVEL_15
98	UNFINISHED_LEVEL_16
