	COST	ALTERNATE_COST
1	50	50
2	50	50
3	50	50
4	50	50
5	50	50
6	100	100
7	200	200
8	400	400
9	600	600
10	800	800
11	910	910
12	1080	1080
13	1080	1080
14	1080	1080
15	1440	1440
16	1440	1440
17	1440	1440
18	1800	1800
19	1800	1800
20	1800	1800
21	2160	2160
22	2160	2160
23	2160	2160
24	2520	2520
25	2520	2520
26	2520	2520
27	2880	2880
28	2880	2880
29	2880	2880
30	3240	3240
31	3240	3240
32	3240	3240
33	3600	3600
34	3600	3600
35	3600	3600
36	3960	3960
37	3960	3960
38	3960	3960
39	4320	4320
40	4320	4320
41	4320	4320
42	4680	4680
43	4680	4680
44	4680	4680
45	5040	5040
46	5040	5040
47	5040	5040
48	5400	5400
49	5400	5400
50	5400	5400
