	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107
1	12																																																																																																										
2	12	12																																																																																																									
3	12	12	12																																																																																																								
4	12	12	12	12																																																																																																							
5	12	12	12	12	12																																																																																																						
6	12	12	12	12	12	12																																																																																																					
7	12	12	12	12	12	12	16																																																																																																				
8	12	12	12	12	12	12	12	16																																																																																																			
9	12	12	12	12	12	12	12	16	20																																																																																																		
10	12	12	12	12	12	12	12	12	16	20																																																																																																	
11	12	12	12	12	12	12	12	12	16	20	24																																																																																																
12	12	12	12	12	12	12	12	12	12	16	20	24																																																																																															
13	12	12	12	12	12	12	12	12	12	12	16	20	24																																																																																														
14	12	12	12	12	12	12	12	12	12	12	12	16	20	24																																																																																													
15	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24																																																																																												
16	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24																																																																																											
17	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24																																																																																										
18	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24																																																																																									
19	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24																																																																																								
20	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																																							
21	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																																						
22	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																																					
23	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																																				
24	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																																			
25	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																																		
26	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																																	
27	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																																
28	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																															
29	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																														
30	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																													
31	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																												
32	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																											
33	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																										
34	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																									
35	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																								
36	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																							
37	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																						
38	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	28																																																																					
39	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																																				
40	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																																			
41	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																																		
42	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																																	
43	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																																
44	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																															
45	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																														
46	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																													
47	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																												
48	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																											
49	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																										
50	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																									
51	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																								
52	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																							
53	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																						
54	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																					
55	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																				
56	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																			
57	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	20	24	30																																																		
