	NODE	WEIGHT	QUANTITY	BEHAVIOR	RESULT
1	ROOT	1	1		<$Track$_TIER_$Tier$_SLOT_A>,<$Track$_TIER_$Tier$_SLOT_B>
2	BATTLEPASS_HERO	1	1		<@HERO>
3	MEGABITS_FOR_HERO	1	1		<@MEGABITS_FOR_HERO>
4	FREE_TIER_1_SLOT_A	1	fn (L*5250000)+5000000		GOLD
5	FREE_TIER_1_SLOT_B	1	1758		EXP_COLOSSAL
6	FREE_TIER_2_SLOT_A	1	4		WISH_CHEST_10X
7	FREE_TIER_2_SLOT_B	1	fn max((L*12800)+1250000, 1)		GEAR_JUICE
8	FREE_TIER_3_SLOT_A	1	2		BADGE_CHEST_1X
9	FREE_TIER_3_SLOT_B	1	1		VIP5_CONSUMABLE
10	FREE_TIER_4_SLOT_A	1	fn (L*5250000)+5000000		GOLD
11	FREE_TIER_4_SLOT_B	1	1758		EXP_COLOSSAL
12	FREE_TIER_5_SLOT_A	1	2		BADGE_CHEST_1X
13	FREE_TIER_5_SLOT_B	1	fn (L*5250000)+5000000		GOLD
14	FREE_TIER_6_SLOT_A	1	fn max((L*12800)+1250000, 1)		GEAR_JUICE
15	FREE_TIER_6_SLOT_B	1	1		PORT_RESET
16	FREE_TIER_7_SLOT_A	1	2		BADGE_CHEST_1X
17	FREE_TIER_7_SLOT_B	1	fn (L*5250000)+5000000		GOLD
18	FREE_TIER_8_SLOT_A	1	1758		EXP_COLOSSAL
19	FREE_TIER_8_SLOT_B	1	4		WISH_CHEST_10X
20	FREE_TIER_9_SLOT_A	1	2		BADGE_CHEST_1X
21	FREE_TIER_9_SLOT_B	1	fn max((L*12800)+1250000, 1)		GEAR_JUICE
22	FREE_TIER_10_SLOT_A	1	1		ELITE_CHANCES_COST_RESET
23	FREE_TIER_10_SLOT_B	1	5		PRIZE_TOKENS
24	FREE_TIER_11_SLOT_A	1	2		BADGE_CHEST_1X
25	FREE_TIER_11_SLOT_B	1	1758		EXP_COLOSSAL
26	FREE_TIER_12_SLOT_A	1	5		PRIZE_TOKENS
27	FREE_TIER_12_SLOT_B	1	fn max((L*12800)+1250000, 1)		GEAR_JUICE
28	FREE_TIER_13_SLOT_A	1	2		BADGE_CHEST_1X
29	FREE_TIER_13_SLOT_B	1	1		STAMINA_COST_RESET
30	FREE_TIER_14_SLOT_A	1	fn (L*5250000)+5000000		GOLD
31	FREE_TIER_14_SLOT_B	1	1758		EXP_COLOSSAL
32	FREE_TIER_15_SLOT_A	1	2		BADGE_CHEST_1X
33	FREE_TIER_15_SLOT_B	1	4		WISH_CHEST_10X
34	FREE_TIER_16_SLOT_A	1	fn max((L*12800)+1250000, 1)		GEAR_JUICE
35	FREE_TIER_16_SLOT_B	1	1		VIP5_CONSUMABLE
36	FREE_TIER_17_SLOT_A	1	2		BADGE_CHEST_1X
37	FREE_TIER_17_SLOT_B	1	fn (L*5250000)+5000000		GOLD
38	FREE_TIER_18_SLOT_A	1	5		PRIZE_TOKENS
39	FREE_TIER_18_SLOT_B	1	fn (L*5250000)+5000000		GOLD
40	FREE_TIER_19_SLOT_A	1	2		BADGE_CHEST_1X
41	FREE_TIER_19_SLOT_B	1	1758		EXP_COLOSSAL
42	FREE_TIER_20_SLOT_A	1	4		WISH_CHEST_10X
43	FREE_TIER_20_SLOT_B	1	fn max((L*12800)+1250000, 1)		GEAR_JUICE
44	FREE_TIER_21_SLOT_A	1	2		BADGE_CHEST_1X
45	FREE_TIER_21_SLOT_B	1	1		STAMINA_RECHARGE_4X
46	FREE_TIER_22_SLOT_A	1	fn (L*5250000)+5000000		GOLD
47	FREE_TIER_22_SLOT_B	1	1758		EXP_COLOSSAL
48	FREE_TIER_23_SLOT_A	1	2		BADGE_CHEST_1X
49	FREE_TIER_23_SLOT_B	1	5		PRIZE_TOKENS
50	FREE_TIER_24_SLOT_A	1	fn max((L*12800)+1250000, 1)		GEAR_JUICE
51	FREE_TIER_24_SLOT_B	1	1		STAMINA_COST_RESET
52	FREE_TIER_25_SLOT_A	1	2		BADGE_CHEST_1X
