	DIVISION	MIN_WEEK	MIN_RANK	COPPER	BRONZE	SILVER	GOLD	PLATINUM
>	1	1	1					3
>	1	1	2				1	2
>	1	1	3				2	1
>	1	1	4				3	
>	1	1	6			1	2	
>	1	1	11			2	1	
>	1	1	21			3		
>	2	1	1			3		
>	2	1	2		1	2		
>	2	1	3	1		2		
>	2	1	4		2	1		
>	2	1	6	1	1	1		
>	2	1	11		3			
>	2	1	21	1	2			
>	3	1	1		1	2		
>	3	1	2	1		2		
>	3	1	3		2	1		
>	3	1	4	1	1	1		
>	3	1	6		3			
>	3	1	11	1	2			
>	3	1	21	2	1			
>	4	1	1	1		2		
>	4	1	2		2	1		
>	4	1	3	1	1	1		
>	4	1	4		3			
>	4	1	6	1	2			
>	4	1	11	2	1			
>	4	1	21	1	1			
>	5	1	1		2	1		
>	5	1	2	1	1	1		
>	5	1	3		3			
>	5	1	4	1	2			
>	5	1	6	2	1			
>	5	1	11	1	1			
>	5	1	21	2				
>	6	1	1	1	1	1		
>	6	1	2		3			
>	6	1	3	1	2			
>	6	1	4	2	1			
>	6	1	6	1	1			
>	6	1	11	2				
>	6	1	21	1				
>	7	1	1	1	2			
>	7	1	2	2	1			
>	7	1	3	3				
>	7	1	4	2				
>	7	1	11	1				
