	THRESHOLD	LEAGUE	QUANTITY	DROP	EXTRA
>	99999999	BRONZE	500	MOD_POWER	
>	50	BRONZE	1000	MOD_POWER	
>	40	BRONZE	2000	MOD_POWER	
>	30	BRONZE	3000	MOD_POWER	
>	20	BRONZE	4000	MOD_POWER	
>	10	BRONZE	5000	MOD_POWER	
>	5	BRONZE	6000	MOD_POWER	
>	4	BRONZE	7000	MOD_POWER	
>	3	BRONZE	8000	MOD_POWER	
>	2	BRONZE	9000	MOD_POWER	
>	1	BRONZE	10000	MOD_POWER	
>	99999999	SILVER	10000	MOD_POWER	
>	50	SILVER	11500	MOD_POWER	
>	40	SILVER	13000	MOD_POWER	
>	30	SILVER	14500	MOD_POWER	
>	20	SILVER	16000	MOD_POWER	
>	10	SILVER	17500	MOD_POWER	
>	5	SILVER	19000	MOD_POWER	
>	4	SILVER	20500	MOD_POWER	
>	3	SILVER	22000	MOD_POWER	
>	2	SILVER	23500	MOD_POWER	
>	1	SILVER	25000	MOD_POWER	
>	99999999	GOLD	25000	MOD_POWER	
>	50	GOLD	27000	MOD_POWER	
>	40	GOLD	29000	MOD_POWER	
>	30	GOLD	31000	MOD_POWER	
>	20	GOLD	33000	MOD_POWER	
>	10	GOLD	35000	MOD_POWER	
>	5	GOLD	37000	MOD_POWER	
>	4	GOLD	39000	MOD_POWER	
>	3	GOLD	41000	MOD_POWER	
>	2	GOLD	43000	MOD_POWER	
>	1	GOLD	45000	MOD_POWER	
>	99999999	PLATINUM	45000	MOD_POWER	
>	50	PLATINUM	47500	MOD_POWER	
>	40	PLATINUM	50000	MOD_POWER	
>	30	PLATINUM	52500	MOD_POWER	
>	20	PLATINUM	55000	MOD_POWER	
>	10	PLATINUM	57500	MOD_POWER	
>	5	PLATINUM	60000	MOD_POWER	
>	4	PLATINUM	62500	MOD_POWER	
>	3	PLATINUM	65000	MOD_POWER	
>	2	PLATINUM	67500	MOD_POWER	
>	1	PLATINUM	70000	MOD_POWER	
>	99999999	CHALLENGER	70000	MOD_POWER	
>	50	CHALLENGER	73000	MOD_POWER	
>	40	CHALLENGER	76000	MOD_POWER	
>	30	CHALLENGER	79000	MOD_POWER	
>	20	CHALLENGER	82000	MOD_POWER	
>	10	CHALLENGER	85000	MOD_POWER	
>	5	CHALLENGER	88000	MOD_POWER	
>	4	CHALLENGER	91000	MOD_POWER	
>	3	CHALLENGER	94000	MOD_POWER	
>	2	CHALLENGER	97000	MOD_POWER	
>	1	CHALLENGER	100000	MOD_POWER	
