	PRIMARY_EFFECT	SECONDARY_EFFECT	ABBREVIATION
1	HP	DEFAULT	
2	HP	ARMOR	Armr
3	HP	REALITY	Real
4	HP	SHIELDS	Shld
5	SKILL_POWER	DEFAULT	
6	SKILL_POWER	SKILL_LEVEL_2	Sk2
7	SKILL_POWER	SKILL_LEVEL_3	Sk3
8	SKILL_POWER	SKILL_LEVEL_4	Sk4
9	BASIC_DAMAGE	DEFAULT	
10	BASIC_DAMAGE	ATTACK_SPEED	ASpd
11	BASIC_DAMAGE	NORMAL_CRIT	NCrit
12	BASIC_DAMAGE	FANTASTIC_CRIT	FCrit
13	HP_BD	NORMAL_CRIT_NEGATION	NCritNegation
14	HP_SP	FANTASTIC_CRIT_NEGATION	FCritNegation
15	HP_BD	SHIELDS	HpBdShields
16	HP_BD	ATTACK_SPEED	HpBdAttackSpeed
17	HP_SP	ARMOR	HpSpArmor
18	HP_SP	SKILL_LEVEL_4	HpSpSk4
