	PRIMARY	SECONDARY	HERO_LEVEL	DISABLED
1	RALPH	VANELLOPE	20	
2	ELASTIGIRL	VANELLOPE	27	
3	YAX	FROZONE	29	
4	VANELLOPE	DASH	31	
5	ELASTIGIRL	JACK_JACK	33	
6	YAX	FINNICK	35	
7	VIOLET	RALPH	37	
8	FROZONE	MR_INCREDIBLE	39	
9	FELIX	RALPH	41	
10	NICK_WILDE	YAX	43	
11	FELIX	FROZONE	45	
12	MR_INCREDIBLE	ELASTIGIRL	46	
13	CALHOUN	VIOLET	47	
14	DASH	FINNICK	48	
15	JACK_JACK	VIOLET	49	
16	FINNICK	JUDY_HOPPS	50	
17	DASH	VIOLET	51	
18	JUDY_HOPPS	FELIX	52	
19	NICK_WILDE	JUDY_HOPPS	53	
20	CALHOUN	FELIX	54	
21	CHIEF_BOGO	CALHOUN	55	
22	FINNICK	NICK_WILDE	56	
23	JACK_JACK	CHIEF_BOGO	57	
24	MR_INCREDIBLE	DASH	58	
25	JUDY_HOPPS	CHIEF_BOGO	59	
26	CHIEF_BOGO	MR_INCREDIBLE	60	
27	WOODY	BUZZ	60	
28	REX	WOODY	66	
29	EMPEROR_ZURG	REX	68	
30	BUZZ	EMPEROR_ZURG	62	
31	SULLEY	RALPH	64	
32	RALPH	JACK_SPARROW	71	
33	WOODY	JESSIE	72	
34	JESSIE	BUZZ	72	
35	JACK_SPARROW	NICK_WILDE	64	
36	JESSIE	JUDY_HOPPS	61	
37	REX	MIKE	73	
38	MIKE	SULLEY	69	
39	EVE	CALHOUN	74	
40	MIKE	JACK_JACK	74	
41	SULLEY	WOODY	74	
42	FROZONE	EVE	75	
43	EVE	WALL_E	65	
44	WALL_E	DASH	67	
45	TIA_DALMA	YAX	76	
46	QUORRA	EVE	77	
47	JACK_SPARROW	HECTOR_BARBOSSA	77	
48	TIA_DALMA	JACK_SPARROW	78	
49	WALL_E	KEVIN_FLYNN	78	
50	BUZZ	KEVIN_FLYNN	79	
51	HECTOR_BARBOSSA	TIA_DALMA	79	
52	KEVIN_FLYNN	QUORRA	80	
53	QUORRA	BUZZ	80	
54	MERIDA	ELASTIGIRL	76	
55	VANELLOPE	MERIDA	82	
56	MERIDA	CHIEF_BOGO	83	
57	VIOLET	MERIDA	83	
58	HECTOR_BARBOSSA	STITCH	84	
59	STITCH	MAUI	85	
60	MAUI	MOANA	84	
61	MOANA	MERIDA	85	
62	ALADDIN	GENIE	86	
63	BAYMAX	WALL_E	87	
64	EMPEROR_ZURG	HIRO	88	
65	GENIE	MIKE	88	
66	HIRO	BAYMAX	89	
67	KEVIN_FLYNN	BAYMAX	89	
68	MAUI	GENIE	90	
69	MIGUEL	JESSIE	90	
70	HADES	JACK_SPARROW	91	
71	MALEFICENT	URSULA	92	
72	SCAR	MALEFICENT	93	
73	URSULA	HADES	94	
74	URSULA	TIA_DALMA	95	
75	MICKEY_MOUSE	SULLEY	91	
76	MOANA	MICKEY_MOUSE	92	
77	MICKEY_MOUSE	JACK_SKELLINGTON	92	
78	ALADDIN	SHANK	95	
79	SHANK	ELASTIGIRL	95	
80	MIGUEL	ELSA	96	
81	SHANK	VANELLOPE	97	
82	ELSA	FROZONE	98	
83	MALEFICENT	JACK_SKELLINGTON	99	
84	GENIE	ELSA	100	
85	OLAF	FELIX	97	
86	SALLY	YAX	99	
87	BAYMAX	OLAF	99	
88	ELSA	OLAF	99	
89	JACK_SKELLINGTON	SALLY	99	
90	OLAF	MOANA	100	
91	SALLY	TIA_DALMA	100	
92	DARKWING_DUCK	MR_INCREDIBLE	103	
93	DARKWING_DUCK	NICK_WILDE	102	
94	HIRO	DARKWING_DUCK	101	
95	GASTON	CALHOUN	103	
96	ALICE	MIGUEL	101	
97	QUEEN_OF_HEARTS	REX	105	
98	ALICE	QUORRA	102	
99	MAD_HATTER	ALICE	102	
100	STITCH	MAD_HATTER	103	
101	QUEEN_OF_HEARTS	ALICE	103	
102	SCAR	QUEEN_OF_HEARTS	104	
103	JACK_SKELLINGTON	MAD_HATTER	105	
104	HADES	MEGARA	106	
105	HERCULES	MEGARA	106	
106	HERCULES	MAUI	110	
107	MEGARA	ALADDIN	107	
108	MEGARA	SHANK	109	
109	MERLIN	GENIE	114	
110	ROBIN_HOOD	MERIDA	113	
111	ROBIN_HOOD	NICK_WILDE	115	
112	GOOFY	MICKEY_MOUSE	111	
113	GOOFY	JESSIE	117	
114	DUCKY_AND_BUNNY	MERLIN	118	
115	DUKE_CABOOM	WOODY	115	
116	BO_PEEP	JOY	120	
117	BO_PEEP	WOODY	124	
118	JOY	OLAF	121	
