	HERO_SHARDS	ABILITY_SHARDS	GOLD
0	25	125	10,000,000
1	5	10	238,800
2	5	10	246,000
3	5	10	253,200
4	5	10	260,400
5	5	10	267,600
6	5	15	274,800
7	5	15	282,000
8	5	15	289,200
9	5	15	296,400
10	5	15	303,600
11	6	20	310,800
12	6	20	318,000
13	6	20	325,200
14	6	20	332,400
15	6	20	339,600
16	6	25	346,800
17	6	25	354,000
18	6	25	361,200
19	6	25	368,400
20	6	25	375,600
21	7	30	382,800
22	7	30	390,000
23	7	30	397,200
24	7	30	404,400
25	7	30	411,600
26	7	35	418,800
27	7	35	426,000
28	7	35	433,200
29	7	35	440,400
30	7	35	447,600
31	8	40	454,800
32	8	40	462,000
33	8	40	469,200
34	8	40	476,400
35	8	40	483,600
36	8	45	490,800
37	8	45	498,000
38	8	45	505,200
39	8	45	512,400
40	8	45	519,600
41	9	50	526,800
42	9	50	534,000
43	9	50	541,200
44	9	50	548,400
45	9	50	555,600
46	9	55	562,800
47	9	55	570,000
48	9	55	577,200
49	9	55	584,400
50	9	55	591,600
51	10	60	598,800
52	10	60	606,000
53	10	60	613,200
54	10	60	620,400
55	10	60	627,600
56	10	65	634,800
57	10	65	642,000
58	10	65	649,200
59	10	65	656,400
60	10	65	663,600
61	11	70	670,800
62	11	70	678,000
63	11	70	685,200
64	11	70	692,400
65	11	70	699,600
66	11	75	706,800
67	11	75	714,000
68	11	75	721,200
69	11	75	728,400
70	11	75	735,600
71	12	80	742,800
72	12	80	750,000
73	12	80	757,200
74	12	80	764,400
75	12	80	771,600
76	12	85	778,800
77	12	85	786,000
78	12	85	793,200
79	12	85	800,400
80	12	85	807,600
81	13	90	814,800
82	13	90	822,000
83	13	90	829,200
84	13	90	836,400
85	13	90	843,600
86	13	95	850,800
87	13	95	858,000
88	13	95	865,200
89	13	95	872,400
90	13	95	879,600
91	14	100	886,800
92	14	100	894,000
93	14	100	901,200
94	14	100	908,400
95	14	100	915,600
96	14	105	922,800
97	14	105	930,000
98	14	105	937,200
99	14	105	944,400
100	14	105	951,600
101	15	110	958,800
102	15	110	966,000
103	15	110	973,200
104	15	110	980,400
105	15	110	987,600
106	15	115	994,800
107	15	115	1,002,000
108	15	115	1,009,200
109	15	115	1,016,400
110	15	115	1,023,600
111	16	120	1,030,800
112	16	120	1,038,000
113	16	120	1,045,200
114	16	120	1,052,400
115	16	120	1,059,600
116	16	125	1,066,800
117	16	125	1,074,000
118	16	125	1,081,200
119	16	125	1,088,400
120	16	125	1,095,600
121	17	130	1,102,800
122	17	130	1,110,000
123	17	130	1,117,200
124	17	130	1,124,400
125	17	130	1,131,600
126	17	135	1,138,800
127	17	135	1,146,000
128	17	135	1,153,200
129	17	135	1,160,400
130	17	135	1,167,600
131	18	140	1,174,800
132	18	140	1,182,000
133	18	140	1,189,200
134	18	140	1,196,400
135	18	140	1,203,600
136	18	145	1,210,800
137	18	145	1,218,000
138	18	145	1,225,200
139	18	145	1,232,400
140	18	145	1,239,600
141	19	150	1,254,000
142	19	150	1,268,400
143	19	150	1,282,800
144	19	150	1,297,200
145	19	150	1,311,600
146	19	155	1,333,200
147	19	155	1,354,800
148	19	155	1,376,400
149	19	155	1,398,000
150	20	160	1,430,400
151	20	160	1,462,800
152	20	160	1,495,200
153	20	160	1,527,600
154	20	160	1,560,000
155	20	165	1,608,600
156	20	165	1,657,200
157	20	165	1,705,800
158	20	165	1,754,400
159	20	165	1,803,000
160	21	170	1,851,600
161	21	170	1,900,200
162	21	170	1,948,800
163	21	170	1,997,400
164	21	170	2,046,000
165	21	175	2,094,600
166	21	175	2,143,200
167	21	175	2,191,800
168	21	175	2,240,400
169	21	175	2,289,000
170	22	180	2,337,600
171	22	180	2,386,200
172	22	180	2,434,800
173	22	180	2,483,400
174	22	180	2,532,000
175	22	185	2,580,600
176	22	185	2,629,200
177	22	185	2,677,800
178	22	185	2,726,400
179	22	185	2,775,000
180	23	190	2,823,600
181	23	190	2,872,200
182	23	190	2,920,800
183	23	190	2,969,400
184	23	190	3,018,000
185	23	195	3,066,600
186	23	195	3,115,200
187	23	195	3,163,800
188	23	195	3,212,400
189	23	195	3,261,000
190	24	200	3,309,600
191	24	200	3,358,200
192	24	200	3,406,800
193	24	200	3,455,400
194	24	200	3,504,000
195	24	205	3,552,600
196	24	205	3,601,200
197	24	205	3,649,800
198	24	205	3,698,400
199	24	205	3,747,000
200	25	210	3,795,600
201	25	210	3,844,200
202	25	210	3,892,800
203	25	210	3,941,400
204	25	210	3,990,000
205	25	215	4,038,600
206	25	215	4,087,200
207	25	215	4,135,800
208	25	215	4,184,400
209	25	215	4,233,000
210	26	220	4,281,600
211	26	220	4,330,200
212	26	220	4,378,800
213	26	220	4,427,400
214	26	220	4,476,000
215	26	225	4,524,600
216	26	225	4,573,200
217	26	225	4,621,800
218	26	225	4,670,400
219	26	225	4,719,000
220	27	230	4,767,600
221	27	230	4,816,200
222	27	230	4,864,800
223	27	230	4,913,400
224	27	230	4,962,000
225	27	235	5,010,600
226	27	235	5,059,200
227	27	235	5,107,800
228	27	235	5,156,400
229	27	235	5,205,000
230	28	240	5,253,600
231	28	240	5,302,200
232	28	240	5,350,800
233	28	240	5,399,400
234	28	240	5,448,000
235	28	245	5,496,600
236	28	245	5,545,200
237	28	245	5,593,800
238	28	245	5,642,400
239	28	245	5,691,000
240	29	250	5,739,600
241	29	250	5,788,200
242	29	250	5,836,800
243	29	250	5,885,400
244	29	250	5,934,000
245	29	255	5,982,600
246	29	255	6,031,200
247	29	255	6,079,800
248	29	255	6,128,400
249	29	255	6,177,000
250	30	260	6,225,600
251	30	260	6,274,200
252	30	260	6,322,800
253	30	260	6,371,400
254	30	260	6,420,000
255	30	265	6,468,600
256	30	265	6,517,200
257	30	265	6,565,800
258	30	265	6,614,400
259	30	265	6,663,000
260	31	270	6,711,600
261	31	270	6,760,200
262	31	270	6,808,800
263	31	270	6,857,400
264	31	270	6,906,000
265	32	275	6,964,300
266	32	275	7,022,600
267	32	275	7,080,900
268	32	275	7,139,200
269	32	275	7,197,500
270	33	280	7,255,800
271	33	280	7,314,100
272	33	280	7,372,400
273	33	280	7,430,700
274	33	280	7,489,000
275	34	285	7,547,300
276	34	285	7,605,600
277	34	285	7,663,900
278	34	285	7,722,200
279	34	285	7,780,500
280	35	290	7,838,800
281	35	290	7,897,100
282	35	290	7,955,400
283	35	290	8,013,700
284	35	290	8,072,000
285	36	295	8,130,300
286	36	295	8,188,600
287	36	295	8,246,900
288	36	295	8,305,200
289	36	295	8,363,500
290	37	300	8,421,800
291	37	300	8,480,100
292	37	300	8,538,400
293	37	300	8,596,700
294	37	300	8,655,000
295	38	305	8,713,300
296	38	305	10,292,986
297	38	305	10,760,849
298	38	305	12,164,438
299	38	305	13,568,027
300	39	310	14,429,896
301	39	310	14,429,896
302	39	310	14,429,896
303	39	310	14,429,896
304	39	310	14,429,896
305	40	315	18,758,865
306	40	315	18,758,865
307	40	315	18,758,865
308	40	315	18,758,865
309	40	315	18,758,865
310	41	320	24,386,524
311	41	320	24,386,524
312	41	320	24,386,524
313	41	320	24,386,524
314	41	320	24,386,524
315	42	325	31,702,480
316	42	325	31,702,480
317	42	325	31,702,480
318	42	325	31,702,480
319	42	325	31,702,480
320	43	330	41,213,225
321	43	330	41,213,225
322	43	330	41,213,225
323	43	330	41,213,225
324	43	330	41,213,225
325	44	335	53,577,195
326	44	335	53,577,195
327	44	335	53,577,195
328	44	335	53,577,195
329	44	335	53,577,195
330	45	340	77,686,935
331	45	340	77,686,935
332	45	340	77,686,935
333	45	340	77,686,935
334	45	340	77,686,935
335	46	345	100,993,015
336	46	345	100,993,015
337	46	345	100,993,015
338	46	345	100,993,015
339	46	345	100,993,015
340	47	350	131,290,920
341	47	350	131,290,920
342	47	350	131,290,920
343	47	350	131,290,920
344	47	350	131,290,920
345	48	355	196,936,380
346	48	355	196,936,380
347	48	355	196,936,380
348	48	355	196,936,380
349	48	355	196,936,380
350	49	360	295,404,570
351	49	360	295,404,570
352	49	360	295,404,570
353	49	360	295,404,570
354	49	360	295,404,570
355	50	365	339,715,255
356	50	365	339,715,255
357	50	365	339,715,255
358	50	365	339,715,255
359	50	365	339,715,255
360	51	370	407,658,305
361	51	370	407,658,305
362	51	370	407,658,305
363	51	370	407,658,305
364	51	370	407,658,305
365	52	375	509,572,880
366	52	375	509,572,880
367	52	375	509,572,880
368	52	375	509,572,880
369	52	375	509,572,880
370	53	380	662,444,745
371	53	380	662,444,745
372	53	380	662,444,745
373	53	380	662,444,745
374	53	380	662,444,745
375	54	385	761,811,455
376	54	385	761,811,455
377	54	385	761,811,455
378	54	385	761,811,455
379	54	385	761,811,455
380	55	390	815,138,255
381	55	390	815,138,255
382	55	390	815,138,255
383	55	390	815,138,255
384	55	390	815,138,255
385	56	395	855,895,170
386	56	395	855,895,170
387	56	395	855,895,170
388	56	395	855,895,170
389	56	395	855,895,170
390	57	400	941,484,685
391	57	400	941,484,685
392	57	400	941,484,685
393	57	400	941,484,685
394	57	400	941,484,685
395	58	405	1,082,707,390
396	58	405	1,082,707,390
397	58	405	1,082,707,390
398	58	405	1,082,707,390
399	58	405	1,082,707,390
400	59	410	1,353,384,240
401	59	410	1,353,384,240
402	59	410	1,353,384,240
403	59	410	1,353,384,240
404	59	410	1,353,384,240
405	60	415	1,421,053,450
406	60	415	1,421,053,450
407	60	415	1,421,053,450
408	60	415	1,421,053,450
409	60	415	1,421,053,450
410	61	420	1,847,369,485
411	61	420	1,847,369,485
412	61	420	1,847,369,485
413	61	420	1,847,369,485
414	61	420	1,847,369,485
415	62	425	2,493,948,805
416	62	425	2,493,948,805
417	62	425	2,493,948,805
418	62	425	2,493,948,805
419	62	425	2,493,948,805
420	63	430	2,992,738,565
421	63	430	2,992,738,565
422	63	430	2,992,738,565
423	63	430	2,992,738,565
424	63	430	2,992,738,565
425	64	435	3,292,012,420
426	64	435	3,292,012,420
427	64	435	3,292,012,420
428	64	435	3,292,012,420
429	64	435	3,292,012,420
430	65	440	3,950,414,905
431	65	440	3,950,414,905
432	65	440	3,950,414,905
433	65	440	3,950,414,905
434	65	440	3,950,414,905
435	66	445	4,740,497,885
436	66	445	4,740,497,885
437	66	445	4,740,497,885
438	66	445	4,740,497,885
439	66	445	4,740,497,885
440	67	450	5,214,547,675
441	67	450	5,214,547,675
442	67	450	5,214,547,675
443	67	450	5,214,547,675
444	67	450	5,214,547,675
445	68	455	6,778,911,980
446	68	455	6,778,911,980
447	68	455	6,778,911,980
448	68	455	6,778,911,980
449	68	455	6,778,911,980
450	69	460	8,812,585,575
451	69	460	8,812,585,575
452	69	460	8,812,585,575
453	69	460	8,812,585,575
454	69	460	8,812,585,575
455	70	465	11,456,361,250
456	70	465	11,456,361,250
457	70	465	11,456,361,250
458	70	465	11,456,361,250
459	70	465	11,456,361,250
460	71	470	14,893,269,625
461	71	470	14,893,269,625
462	71	470	14,893,269,625
463	71	470	14,893,269,625
