	POINTS_REQ	HP_BONUS	ARMOR_BONUS	REALITY_BONUS	BASIC_ATTACK_BONUS	SKILL_POWER	IMPROVED_HEALING	ENERGY_GAIN	ATTACK_SPEED
0	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
2	500	1.005	1	1	1	1	1	1	1
3	3000	1.005	1.005	1	1	1	1	1	1
4	5500	1.005	1.005	1.005	1	1	1	1	1
5	8000	1.005	1.005	1.005	1.005	1	1	1	1
6	10500	1.005	1.005	1.005	1.005	1.005	1	1	1
7	13000	1.01	1.005	1.005	1.005	1.005	1	1	1
8	15500	1.01	1.01	1.005	1.005	1.005	1	1	1
9	18000	1.01	1.01	1.01	1.005	1.005	1	1	1
10	20500	1.01	1.01	1.01	1.01	1.005	1	1	1
11	23000	1.01	1.01	1.01	1.01	1.01	1	1	1
12	25500	1.015	1.01	1.01	1.01	1.01	1	1	1
13	28000	1.015	1.015	1.01	1.01	1.01	1	1	1
14	30500	1.015	1.015	1.015	1.01	1.01	1	1	1
15	33000	1.015	1.015	1.015	1.015	1.01	1	1	1
16	35500	1.015	1.015	1.015	1.015	1.015	1	1	1
17	38000	1.02	1.015	1.015	1.015	1.015	1	1	1
18	40500	1.02	1.02	1.015	1.015	1.015	1	1	1
19	43000	1.02	1.02	1.02	1.015	1.015	1	1	1
20	45500	1.02	1.02	1.02	1.02	1.015	1.025	1	1
21	48000	1.02	1.02	1.02	1.02	1.02	1.025	1	1
22	50500	1.025	1.02	1.02	1.02	1.02	1.025	1	1
23	53000	1.025	1.025	1.02	1.02	1.02	1.025	1	1
24	55500	1.025	1.025	1.025	1.02	1.02	1.025	1	1
25	58000	1.025	1.025	1.025	1.025	1.02	1.025	1	1
26	60500	1.025	1.025	1.025	1.025	1.025	1.025	1	1
27	63000	1.03	1.025	1.025	1.025	1.025	1.025	1	1
28	65500	1.03	1.03	1.025	1.025	1.025	1.025	1	1
29	68000	1.03	1.03	1.03	1.025	1.025	1.025	1	1
30	70500	1.03	1.03	1.03	1.03	1.025	1.025	1	1
31	73000	1.03	1.03	1.03	1.03	1.03	1.025	1	1
32	75500	1.035	1.03	1.03	1.03	1.03	1.025	1	1
33	78000	1.035	1.035	1.03	1.03	1.03	1.025	1	1
34	80500	1.035	1.035	1.035	1.03	1.03	1.025	1	1
35	83000	1.035	1.035	1.035	1.035	1.03	1.025	1	1
36	85500	1.035	1.035	1.035	1.035	1.035	1.025	1	1
37	88000	1.04	1.035	1.035	1.035	1.035	1.025	1	1
38	90500	1.04	1.04	1.035	1.035	1.035	1.025	1	1
39	93000	1.04	1.04	1.04	1.035	1.035	1.025	1	1
40	95500	1.04	1.04	1.04	1.04	1.035	1.025	1.025	1
41	98000	1.04	1.04	1.04	1.04	1.04	1.025	1.025	1
42	100500	1.045	1.04	1.04	1.04	1.04	1.025	1.025	1
43	103000	1.045	1.045	1.04	1.04	1.04	1.025	1.025	1
44	105500	1.045	1.045	1.045	1.04	1.04	1.025	1.025	1
45	108000	1.045	1.045	1.045	1.045	1.04	1.025	1.025	1
46	110500	1.045	1.045	1.045	1.045	1.045	1.025	1.025	1
47	113000	1.05	1.045	1.045	1.045	1.045	1.025	1.025	1
48	115500	1.05	1.05	1.045	1.045	1.045	1.025	1.025	1
49	118000	1.05	1.05	1.05	1.045	1.045	1.025	1.025	1
