	VALUE
SPEED_BASE_HERO_STARS	1
SPEED_BASE_HERO_RARITY	WHITE
SPEED_BASE_HERO_LEVEL	1
SPEED_BASE_SKILL_LEVEL_WHITE	1
SPEED_BASE_SKILL_LEVEL_GREEN	1
SPEED_BASE_SKILL_LEVEL_BLUE	21
SPEED_BASE_SKILL_LEVEL_PURPLE	41
SPEED_BASE_SKILL_LEVEL_RED	121
SPEED_PER_HERO_STAR	2.75
SPEED_PER_HERO_RARITY	1
SPEED_PER_HERO_LEVEL	0.075
SPEED_PER_SKILL_LEVEL_WHITE	0.015
SPEED_PER_SKILL_LEVEL_GREEN	0.015
SPEED_PER_SKILL_LEVEL_BLUE	0.015
SPEED_PER_SKILL_LEVEL_PURPLE	0.015
SPEED_PER_SKILL_LEVEL_RED	0.15
LOW_ON_ITEMS_PERIOD	12 h
CLAIM_RED_DOT_SUPPRESSION_TIME	6 h
SPEEDUP_DURATION	2 h
