	HERO_LEVEL	PATCH_LEVEL
1	185	1
2	210	2
3	235	3
4	260	4
5	285	5
6	310	6
7	315	7
8	320	8
9	325	9
10	330	10
11	335	11
12	340	12
13	345	13
14	350	14
15	355	15
16	360	15
17	365	15
18	370	15
19	375	15
20	380	20
21	385	20
22	390	20
23	395	20
24	400	20
25	405	20
26	410	20
27	415	20
28	420	20
29	425	20
30	430	20
31	435	20
32	440	20
33	445	20
34	450	20
35	455	20
36	460	20
37	465	20
38	470	20
39	475	20
40	480	20
41	485	20
42	490	20
43	495	20
44	500	20
45	505	20
46	510	20
47	515	20
48	520	20
49	525	20
50	530	20
51	535	20
52	540	20
53	545	20
54	550	20
55	555	20
56	560	20
57	565	20
58	570	20
59	575	20
60	580	20
61	585	20
62	590	20
63	595	20
64	600	20
65	605	20
66	610	20
67	615	20
68	620	20
69	625	20
70	630	20
71	635	20
72	640	20
73	645	20
74	650	20
75	655	20
76	660	20
77	665	20
78	670	20
79	675	20
80	680	20
81	685	20
82	690	20
83	695	20
84	700	20
85	705	20
86	710	20
87	715	20
88	720	20
89	725	20
90	730	20
91	735	20
92	740	20
93	745	20
94	750	20
95	755	20
96	760	20
97	765	20
98	770	20
99	775	20
100	780	20
101	785	20
102	790	20
103	795	20
104	800	20
105	805	20
106	810	20
107	815	20
108	820	20
109	825	20
110	830	20
111	835	20
112	840	20
113	845	20
114	850	20
115	855	20
116	860	20
117	865	20
118	870	20
119	875	20
120	880	20
121	885	20
122	890	20
123	895	20
124	900	20
125	905	20
126	910	20
127	915	20
128	920	20
129	925	20
130	930	20
131	935	20
132	940	20
133	945	20
134	950	20
135	955	20
136	960	20
137	965	20
138	970	20
139	975	20
140	980	20
141	985	20
142	990	20
143	995	20
144	1000	20
